user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall,sample_id,exercise_type
Bakit 'sanhi' ang tamang kasingkahulugan ng 'nagbunsod' at hindi 'kaagapay'?,"['[VOCABULARY] bunsod:  Sanhi o dahilan na nagtutulak sa isang pangyayari o kilos. Mga kasingkahulugan: sanhi, dulot, ugat, dahilan. Mga kasalungat: bunga, kinalabasan, resulta.']","Ang ""sanhi"" ang tamang sagot dahil ito ay direktang katumbas ng opisyal na kahulugan ng salitang ""bunsod"", na nagsasabi na ito ay ""Sanhi o dahilan na nagtutulak sa isang pangyayari o kilos"". Ito rin ay nakalista bilang isa sa mga synonym ng ""bunsod"" sa reference materials.

Ang ""kaagapay"" ay mali dahil ito ay may ibang kahulugan at hindi nakalista bilang synonym ng ""bunsod"" sa reference materials, at ito ay isang pangkaraniwang pagkakamali dahil hindi ito direktang nauugnay sa kahulugan ng ""bunsod"" na tumutukoy sa sanhi o dahilan ng isang pangyayari.","Ang ""nagbunsod"" ay tumutukoy sa dahilan o rason kung bakit nangyari ang isang bagay, kaya ito ay kasingkahulugan ng ""sanhi."" Ang ""kaagapay"" ay nangangahulugang kasama o katulong, na malayo sa konteksto ng dahilan ng isang desisyon.",1.0,,0.9999999999,1.0,vocab_001,quiz
Bakit 'silakbo' ang tamang kasingkahulugan ng 'simbuyo' at hindi 'nilalakbay'?,"['[VOCABULARY] simbuyo:  Tumutukoy sa biglaan at matinding pag-usbong o pagsabog ng damdamin na kadalasang nagmumula sa naipong emosyon. Mga kasingkahulugan: silakbo, bugso, pag-alab, sidhi. Mga kasalungat: kahinahunan, katahimikan, kapayapaan.', '[VOCABULARY] silakbo:  Ang biglaang paglabas o pagbulas ng matinding damdamin, emosyon, o puwersa. Mga kasingkahulugan: bugso, simbuyo, pag-alab, matindi, sidhi. Mga kasalungat: kahinahunan, katahimikan, kapanatagan.']","1. Ang ""silakbo"" ang tamang sagot dahil ito ay may kahulugang kapareho ng ""simbuyo"", na tumutukoy sa biglaan at matinding pag-usbong o pagsabog ng damdamin. Ito ay nakasaad sa reference materials na ang ""silakbo"" ay isa sa mga synonym ng ""simbuyo"".

2. Ang ""nilalakbay"" ay mali dahil ito ay hindi nakapaloob sa mga synonym o kahulugan ng ""simbuyo"" at ""silakbo"" sa reference materials, at ito ay isang salita na may ibang kahulugan. Ito ay isang halimbawa ng common mistake pattern kung saan ang estudyante ay nagpapalit ng mga salita na may kahulugan na hindi direktang nauugnay sa tanong.","Ang ""simbuyo"" at ""silakbo"" ay kapwa tumutukoy sa biglaang pag-apaw o pagtindi ng isang nararamdaman, tulad ng galit. Karaniwang pagkakamali ito dahil sa pagkakatunog ng mga salita, pero ang ""nilalakbay"" ay tumutukoy sa biyahe at hindi sa emosyon.",,,,1.0,vocab_002,quiz
Bakit 'siyasat' ang tamang kasingkahulugan ng 'susog' at hindi 'dalampasigan'?,"['[VOCABULARY] susog:  Ang pagbabago, pagwawasto, o pagdaragdag sa isang batas, panukala, dokumento, o pahayag. Mga kasingkahulugan: amendment, pagbabago, pagwawasto, rebisyon, siyasat. Mga kasalungat: orihinal, hindi binago.']","1. Ang ""siyasat"" ang tamang sagot dahil ito ay isa sa mga sinunod na salita sa reference materials, at ito ay may kahulugang kapareho sa salitang ""susog"" na tumutukoy sa pagbabago o pagdaragdag sa isang batas, panukala, o dokumento. Ito ay nagpapakita na ang estudyante ay may pagkakaintindi sa kahulugan ng salitang ""susog"" at nakapili ng tamang kahalili.

2. Ang ""dalampasigan"" ay mali dahil ito ay hindi kaugnay sa kahulugan ng salitang ""susog"" at hindi ito nakasama sa mga sinunod na salita sa reference materials. Ito ay isang halimbawa ng isang karaniwang pagkakamali kung saan ang estudyante ay hindi nakapili ng tamang kahalili dahil sa kawalan ng pagkakaintindi sa kahulugan ng salita o dahil sa pagpili ng isang salita na may ibang kahulugan.","Ang 'siyasat' ang tamang kasingkahulugan ng 'susog' dahil ito ay tumutukoy sa pagsusuri o pag-eeksamen ng dokumento.  Ang 'dalampasigan' ay tumutukoy sa baybayin, na walang kaugnayan sa 'susog'.",0.375,,,1.0,vocab_003,quiz
Bakit 'matindi' ang tamang kasingkahulugan ng 'silakbo' at hindi 'kariktan'?,"['[VOCABULARY] silakbo:  Ang biglaang paglabas o pagbulas ng matinding damdamin, emosyon, o puwersa. Mga kasingkahulugan: bugso, simbuyo, pag-alab, matindi, sidhi. Mga kasalungat: kahinahunan, katahimikan, kapanatagan.']","1. Ang ""matindi"" ay tamang sagot dahil ito ay isa sa mga sinonimo ng salitang ""silakbo"" ayon sa reference material, na nagsasabi na ang mga synonym nito ay kasama ang ""matindi"". Ito ay nagpapakita na ang ""matindi"" ay may kaugnayan sa kahulugan ng ""silakbo"" bilang isang biglaang paglabas o pagbulas ng matinding damdamin.

2. Ang ""kariktan"" ay mali dahil hindi ito nakalista bilang synonym o antonym ng ""silakbo"" sa reference material, at wala rin itong direktang kaugnayan sa kahulugan ng ""silakbo"" na biglaang paglabas o pagbulas ng matinding damdamin, kaya ito ay isang common mistake pattern na hindi pagbabase sa tamang kahulugan at konteksto ng salita.","Sa pangungusap na ito, inilalarawan ng ""silakbo"" ang pagiging ""matindi"" o labis na damdamin na hindi na kayang kontrolin. Ang ""kariktan"" ay kagandahan, na madalas mapili dahil sa pagkalito sa mga malalalim na salitang Tagalog na parehong nagsisimula sa titik ""k.""..",,,0.9999999999,,vocab_004,quiz
Bakit 'pagluha' ang tamang kasingkahulugan ng 'pagtangis' at hindi 'maalab'?,"['[VOCABULARY] tangis:  Ang malalim at masidhing pag-iyak na madalas ay dulot ng matinding pait o lungkot. Mga kasingkahulugan: pagluha, pag-iyak, panaghoy, paghagulgol. Mga kasalungat: pagtawa, kagalakan, katuwaan.']","1. Ang ""pagluha"" ay tamang sagot dahil ito ay isa sa mga sinabi na synonyms ng ""tangis"" ayon sa reference materials, kung saan nakalista ito kasama ng iba pang mga salita tulad ng ""pag-iyak"", ""panaghoy"", at ""paghagulgol"". Ito ay nangangahulugang ang ""pagluha"" at ""tangis"" ay may kahalagahang pag-iyak o lumuha dahil sa lungkot o pait.

2. Ang ""maalab"" ay mali dahil hindi ito nakalista bilang synonym o kahulugan ng ""tangis"" sa reference materials, at ito ay may ibang kahulugan na may kaugnayan sa intensity o kasidhian ng isang emosyon o kilos, ngunit hindi ito direktang nauugnay sa pag-iyak o lumuha. Ito ay isang karaniwang pagkakamali dahil ang ""maalab"" ay may malapit na kahulugan sa ""masidhi"" na ginamit sa opisyal na kahulugan ng ""tangis"", ngunit hindi ito angkop na kahalili para sa ""tangis"" o ""pagluha"".","Ang ""pagtangis"" ay isang pormal o masidhing salita para sa pag-iyak o ""pagluha"" dahil sa matinding lungkot. Ang ""maalab"" ay nangangahulugang nagbabaga o masigasig (madalas gamitin sa pag-ibig), kaya hindi ito angkop sa konteksto ng pagdadalamhati ng isang ina.",,,,,vocab_005,quiz
Bakit 'nagwaldas' ang tamang kasalungat ng 'nagkamal' at hindi 'humpay'?,"['[VOCABULARY] nagkamal:  Pag-iipon o pagkalap ng maraming bagay, lalo na ng kayamanan o ari-arian; pagtitipon ng mga bagay gamit ang mga kamay. Mga kasingkahulugan: nag-ipon, nagtipon, nakalap, nagkamalig. Mga kasalungat: nagwaldas, nagtapon, nag-aksaya, nagpalustay.']","1. Ang ""nagwaldas"" ay tamang kasalungat ng ""nagkamal"" dahil ito ay nangangahulugang paggasta o pagtapon ng mga bagay, na kabaliktaran ng pag-iipon o pagkalap ng maraming bagay.

2. Ang ""humpay"" ay mali dahil hindi ito kasalungat ng ""nagkamal"". Sa halip, walang nakalista na ganitong salita sa mga kasalungat o kahulugan ng ""nagkamal"" sa reference materials. Kailangan pang hanapin ang kahulugan ng ""humpay"" upang malaman kung may kaugnayan ito sa ""nagkamal"".","Ang ""nagkamal"" ay nangangahulugang nag-ipon o nagkamit ng marami, kaya ang kasalungat nito ay ""nagwaldas"" na ang ibig sabihin ay walang pakundangang paggastos o pagtatapon ng pera. Ang ""humpay"" ay tumutukoy sa paghinto o pagtigil (madalas gamitin sa ""walang humpay""), kaya hindi ito direktang kaugnay ng pag-iipon o paggastos ng kayamanan..",0.5,,,,vocab_006,antonym
Bakit 'kapinsalan' ang tamang kasalungat ng 'biyaya' at hindi 'ilanlang'?,"['[VOCABULARY] biyaya:  Kaloob o pagpapalang tinatanggap nang walang hinihinging kapalit, kadalasan mula sa Diyos o kapalaran. Mga kasingkahulugan: grasya, basbas, pagpapala. Mga kasalungat: kapinsalaan, parusa.']","1. Ang ""kapinsalaan"" ay tamang kasalungat ng ""biyaya"" dahil ito ay tumutukoy sa isang bagay na hindi kanais-nais o nakakasama, samantalang ang ""biyaya"" ay tumutukoy sa isang kaloob o pagpapalang tinatanggap nang walang hinihinging kapalit.

2. Mali ang napiling sagot na ""ilanlang"" dahil ito ay hindi kasalungat ng ""biyaya"". Sa halip, ang ""kapinsalaan"" ay nakalistang kasalungat sa reference materials. Ang ""ilanlang"" ay wala ring kaugnayan sa kahulugan ng ""biyaya"" at hindi ito isang synonym o antonym nito.","Ang tamang kasalungat ng ""biyaya"" ay kapinsalaan. Ang biyaya ay isang regalo o positibong bagay, habang ang kapinsalaan ay tumutukoy sa pinsala, hirap, o kamalasan. Ang ""ilanlang"" ay nangangahulugang paglipad nang mataas o pagpapailanlang; wala itong kinalaman sa konsepto ng biyaya o swerte..",0.5714285714285714,,,1.0,vocab_007,antonym
Bakit 'sumuway' ang tamang kasalungat ng 'pagtalima' at hindi 'tuyot'?,"['[VOCABULARY] pagtalima:  Ang matapat at kusang-loob na pagsunod sa isang utos, tagubilin, o awtoridad. Mga kasingkahulugan: pagsunod, pagkamasunurin, paggalang, katapatan. Mga kasalungat: pagsuway, sumuway, pagbalewala, paghihimagsik.']","1. Ang ""sumuway"" ay tamang kasalungat ng ""pagtalima"" dahil ito ay tumutukoy sa pagsuway o hindi pagsunod sa isang utos, tagubilin, o awtoridad, na kabaliktaran ng kahulugan ng ""pagtalima"" na pagsunod sa isang utos o tagubilin.

2. Ang ""tuyot"" ay mali dahil hindi ito kasalungat ng ""pagtalima"". Hindi rin ito nakalista bilang isang antonym o synonym ng ""pagtalima"" sa reference materials.","Ang ""pagtalima"" ay ang pagsunod sa utos o patakaran, kaya ang kabaligtaran nito ay ang ""suway"" o ang hindi pagsunod at pagrerebelde sa iniutos. Ang ""tuyot"" ay tumutukoy sa kawalan ng tubig o pagkatuyo ng lupa, na isang karaniwang maling sagot dahil wala itong lohikal na koneksyon sa kilos ng pagsunod..",0.5,,,,vocab_008,antonym
Bakit 'kapangitan' ang tamang kasalungat ng 'alindog' at hindi 'marubdob'?,"['[VOCABULARY] alindog:  Likas na ganda o kaakit-akit na anyo, kilos, o dating ng isang tao o bagay. Mga kasingkahulugan: ganda, kariktan, akit. Mga kasalungat: kapangitan, pangit.']","1. Ang ""kapangitan"" ang tamang kasalungat ng ""alindog"" dahil ito ay tumutukoy sa kawalan ng likas na ganda o kaakit-akit na anyo, kilos, o dating, na kabaliktaran ng kahulugan ng ""alindog"".

2. Mali ang napiling sagot na ""marubdob"" dahil hindi ito kasalungat ng ""alindog"". Sa halip, ""marubdob"" ay isang salita na may kahulugan na malakas o matapang, na hindi direktang kaugnay ng kahulugan ng ""alindog"" bilang isang kasalungat. Ayon sa reference materials, ang mga tamang kasalungat ng ""alindog"" ay ""kapangitan"" at ""pangit"".","Ang ""alindog"" ay tumutukoy sa ganda o kariktan ng isang tao, kaya ang direkta at lohikal na kasalungat nito ay ""kapangitan."" Ang ""marubdob"" ay naglalarawan ng matinding damdamin o pagnanasa; madalas itong mapili dahil pareho silang ""malalim"" na salita, pero magkaiba ang kanilang kategorya..",0.5,,,0.6666666666666666,vocab_009,antonym
Bakit 'kalmado' ang tamang kasalungat ng 'nabalisa' at hindi 'hiyas'?,"['[VOCABULARY] nabalisa:  Kalagayan ng pagkabalisa, pagkabahala, o hindi mapakali dahil sa pag-aalala o tensiyon. Mga kasingkahulugan: nag-alala, naliligalig, aburido, kabado, balisa. Mga kasalungat: kalmado, panatag, mapayapa, tahimik.']","1. Ang ""kalmado"" ang tamang kasalungat ng ""nabalisa"" dahil ito ay nagsasabi ng isang kalagayan ng kawalan ng pag-aalala o tensiyon, na kabaligtaran ng pagkabalisa o pagkabahala na ibig sabihin ng ""nabalisa"".

2. Mali ang ""hiyas"" bilang kasalungat ng ""nabalisa"" dahil ""hiyas"" ay hindi kasalungat ng ""nabalisa"" at wala ito sa listahan ng mga kasalungat na ibinigay sa reference materials. Hindi rin ito isang synonym ng ""nabalisa"", kundi isang salita na may ibang kahulugan.","Ang ""nabalisa"" ay ang pakiramdam ng pag-aalala o hindi mapakali, kaya ang kasalungat nito ay ang pagiging ""kalmado"" o payapa ang isip. Ang ""hiyas"" ay tumutukoy sa mamahaling bato o alahas; ito ay isang pangngalan na walang kinalaman sa emosyonal na kalagayan ng isang tao..",,,,1.0,vocab_010,antonym
